"","shortId","child.gender","child.additionalInformation","ageRegistration","ageExitsurvey","withdrawn","consent","consentnotes","usable","allcoders","coderComments.Kim","coderComments.Jessica","coderComments.Alice","nVideosExpected","nVideosFound","expectedDuration","actualDuration","exit.survey.withdrawal","exit.survey.useOfMedia","exit.survey.databraryShare","exit.survey.feedback","mood.survey.active","mood.survey.childHappy","mood.survey.rested","mood.survey.healthy","mood.survey.doingBefore","mood.survey.lastEat","mood.survey.napWakeUp","mood.survey.nextNap","mood.survey.usualNapSchedule","mood.survey.ontopofstuff","mood.survey.parentHappy","mood.survey.energetic","child.ageAtBirth","codedby_Alice","codedby_Jessica","use_coder","has_preview","videonum","calibration","duration","left","ooftime","right","stimuli","trialnum","event","concept","object","unexpectedLeft","unexpectedRight","lessExpectedLeft","outcomeLeft","outcomeRight","comparison","fracLeft","fracLessExpected","fracAbs","metric","totalLT","child.proquint"
"25","57e571a5c0d9d70060c68210","female","",6.969863014,6.969863014,FALSE,"yes","child present, ADORABLE (smiling at mom)","yes","['Jessica']",NA,"","",25,25,476.553,476.533333,FALSE,"public","yes","I look forward to seeing the results of this study. ",7,5,5,7,"playing inside",16,45,75,"yes",6,6,5,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,5900,0,10000,"sbs_same_B_A_wrench_c1_b1_NR",1,"same","control","wrench",FALSE,FALSE,NA,"B","A","A:B",0.371069182389937,NA,0.628930817610063,0.628930817610063,15.9,"duvig-mohud"
"26","57e58450c0d9d70061c6822e","female","",6.016438356,6.016438356,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"a lot of bouncing","",25,25,462.268,462.2,FALSE,"scientific","yes","",7,7,7,6,"Playing",120,30,180,"yes",5,5,4,"39 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,3799,0,7867,"sbs_ramp_down_up_whiteball_c1_b2_NR",1,"ramp","gravity","whiteball",FALSE,TRUE,FALSE,"down","up","down:up",0.325647179838848,0.674352820161152,0.674352820161152,0.674352820161152,11.666,"divuh-zobop"
"27","57e58e3cc0d9d70061c6824b","male","",6.936986301,6.936986301,FALSE,"yes","child present","yes","['Jessica']",NA,"","",25,25,474.97,474.933333,FALSE,"scientific","yes","Henry thoroughly loved this study!",5,3,3,3,"We just got home from Costco.",4,165,NA,"no",3,5,2,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,0.747,17000,6438,0,9935,"calibration",1,"calibration",NA,NA,NA,NA,NA,NA,NA,NA,0.393208330788493,NA,0.606791669211507,0.747,16.373,"fivuf-tolof"
"28","57e68b98c0d9d70060c68303","female","",12.03287671,12.03287671,FALSE,"yes","no child present","yes","['Jessica']",NA,"","",25,25,473.689,473.666667,FALSE,"scientific","yes","Abby enjoyed being in the project :)",3,6,6,6,"napping",195,9,180,"yes",6,6,5,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,1,17000,7662,0,9338,"calibration",1,"calibration",NA,NA,NA,NA,NA,NA,NA,NA,0.450705882352941,NA,0.549294117647059,1,17,"naniz-bopam"
"29","57e70cfbc0d9d70061c68364","female","",5.194520548,5.194520548,FALSE,"yes","child present","yes","['Jessica']",NA,"","",25,24,457.421,457.4,FALSE,"scientific","yes","",5,7,7,7,"Playing with toys",60,5,NA,"no",5,7,5,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,0.844072922792573,17000,7864,0,9136,"calibration",1,"calibration",NA,NA,NA,NA,NA,NA,NA,NA,0.462588235294118,NA,0.537411764705882,0.844072922792573,17,"tufuj-juzid"
"30","57e7dc04c0d9d70060c683c8","female","",12.06575342,12.06575342,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"parent in background (not holding child) looks at camera","",25,25,352.577,352.566667,FALSE,"scientific","yes","",7,7,7,7,"playing with her grandma and toys",900,690,NA,"no",5,7,4,"34 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,12069,0,4931,"sbs_stay_next-to_near_brush_c2_green_RR",1,"stay","support","brush",TRUE,TRUE,FALSE,"next-to","near","near:next-to",0.709941176470588,0.290058823529412,0.709941176470588,0.290058823529412,17,"pusih-nuvit"
"31","57e88563c0d9d70060c6840d","female","",10.48767123,10.48767123,FALSE,"yes","no child present","yes","['Jessica', 'Realtime']",NA,"","",25,25,471.302,471.3,FALSE,"private","no","",6,5,3,7,"playing in her crib",120,1200,NA,"no",4,6,4,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,6314,0,10686,"sbs_salience_boring_interesting_funnel_c1_b1_NN",1,"salience","control","funnel",FALSE,TRUE,FALSE,"boring","interesting","boring:interesting",0.371411764705882,0.628588235294118,0.628588235294118,0.628588235294118,17,"hifib-badih"
"32","57e916e1c0d9d70061c683f2","female","",12.46027397,12.46027397,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"","",25,25,456.865,456.866667,FALSE,"public","yes","",5,7,5,7,"laying in crib",10,60,NA,"no",5,6,2,"39 weeks",FALSE,TRUE,"Jessica",FALSE,1,0.919735125915521,17000,7235,0,7531,"calibration",1,"calibration",NA,NA,NA,NA,NA,NA,NA,NA,0.489976974129758,NA,0.510023025870243,0.919735125915521,14.766,"lohig-pibas"
"33","57e9f9bfc0d9d70060c684ea","female","",4.602739726,4.602739726,FALSE,"yes","child present, adorable, clear view","yes","['Jessica']",NA,"","",25,25,614.156,614.166667,FALSE,"scientific","yes","",4,4,3,3,"playing",60,120,NA,"yes-overdue",6,6,6,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,0.939166666666667,17000,7400,0,9600,"calibration",1,"calibration",NA,NA,NA,NA,NA,NA,NA,NA,0.435294117647059,NA,0.564705882352941,0.939166666666667,17,"zotut-lagag"
"34","57ea1af0c0d9d70061c684b5","female","",6.312328767,6.312328767,FALSE,"yes","child present","yes","['Jessica']",NA,"","",25,25,437.784,437.8,FALSE,"scientific","yes","",6,6,6,7,"walking in the stroller",91,120,60,"yes",6,4,3,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,833,0,16167,"sbs_ramp_up_down_cup_c1_b2_NN",1,"ramp","gravity","cup",TRUE,FALSE,TRUE,"up","down","down:up",0.049,0.049,0.951,0.049,17,"bilab-tigoz"
